"Participant","Date","Difficulty","TotalScore","Flight","Bonus","Mine","Fortress","NumberofBonus","NumberofMine","Bonus_Prct","Mine_Prct","FortressShot","NumberOfShots","NumberOfActions"
"143","2023-04-13_17-32-32","monotask",-655,-905,0,0,250,0,0,NA,NA,42,135,385
"143","2023-04-13_17-35-55","multitask",-1605,-1915,-500,560,250,14,19,21.4285714285714,68.4210526315789,27,105,329
"143","2023-04-13_17-39-32","monotask",-65,-1065,0,0,1000,0,0,NA,NA,70,162,385
"143","2023-04-13_17-43-11","multitask",-1195,-1495,0,50,250,16,18,25,27.7777777777778,17,94,336
"143","2023-04-13_17-46-47","monotask",755,-245,0,0,1000,0,0,NA,NA,53,135,338
"143","2023-04-13_17-50-18","multitask",-1400,-1300,-350,250,0,12,16,33.3333333333333,56.25,21,105,321
"143","2023-04-13_17-54-00","monotask",845,-155,0,0,1000,0,0,NA,NA,62,141,322
"143","2023-04-13_17-57-15","multitask",-885,-1245,0,110,250,17,18,29.4117647058824,33.3333333333333,23,91,280
"144","2023-04-17_15-49-28","monotask",3700,-50,0,0,3750,0,0,NA,NA,223,313,587
"144","2023-04-17_15-53-05","multitask",3360,-520,1000,1130,1750,15,23,86.6666666666667,91.304347826087,122,255,541
"144","2023-04-17_15-56-21","monotask",4245,-255,0,0,4500,0,0,NA,NA,278,365,664
"144","2023-04-17_15-59-28","multitask",3095,-385,600,1130,1750,16,21,56.25,95.2380952380952,101,213,511
"144","2023-04-17_16-02-39","monotask",5330,-170,0,0,5500,0,0,NA,NA,339,412,724
"144","2023-04-17_16-05-46","multitask",3640,-350,800,940,2250,13,22,76.9230769230769,86.3636363636364,129,238,526
"144","2023-04-17_16-08-53","monotask",4880,-370,0,0,5250,0,0,NA,NA,296,401,779
"144","2023-04-17_16-11-59","multitask",2205,-705,350,810,1750,13,21,53.8461538461538,76.1904761904762,124,254,510
"144","2023-04-17_16-15-09","monotask",5165,-335,0,0,5500,0,0,NA,NA,315,430,724
"144","2023-04-17_16-18-17","multitask",400,-930,200,130,1000,13,17,38.4615384615385,35.2941176470588,78,154,408
"145","2023-04-19_10-55-39","monotask",-2270,-2520,0,0,250,0,0,NA,NA,20,56,228
"145","2023-04-19_10-59-33","multitask",-905,-1135,50,180,0,7,15,14.2857142857143,53.3333333333333,13,73,246
"145","2023-04-19_11-03-51","monotask",-1905,-2405,0,0,500,0,0,NA,NA,34,70,252
